repo,bugfix_commit,bugfix_subject,bugfix_file,matched_security_event_id,matched_security_commit,matched_security_file,bugfix_file_in_changed_files,changed_source_files_count,changed_source_files_sample,commit_message_full,has_security_ids,has_security_keyword_signal,has_security_adjacent_signal,review_decision,review_notes
jq,cec6b0f34603edc5cd12db1f63dacdf547b4bb4a,Fix crashes and resource leaks in `jq_testsuite` (#3509),src/jq_test.c,GHSA-GF4G-95WJ-4Q4R,3985b80ce50bd75c6eb5a97cb3348c3f835ca8e0,src/jq_test.c,1,1,src/jq_test.c,"Fix crashes and resource leaks in `jq_testsuite` (#3509)

- Fix segfault when --skip/--take is the last argument.
- Fix FILE handle leak: opened test files were never closed.
- Support running multiple test files in one invocation.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,dd4cec664cd2a45921189fab2a938a4966191a31,fix memory leak,src/execute.c,OSV-2025-363,c6e041699d8cd31b97375a2596217aff2cfca85b,src/jv.c,1,1,src/execute.c,fix memory leak,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,df95871dd7415627bda6d70ce0569d0a4fbc22c6,"Fix leak on too-large programs, OSS Fuzz issue 61349",src/compile.c,CVE-2025-48060,c6e041699d8cd31b97375a2596217aff2cfca85b,src/jv.c,1,1,src/compile.c,"Fix leak on too-large programs, OSS Fuzz issue 61349

A very large program can cause these leaks:

  ==758838== 7,820 (16 direct, 7,804 indirect) bytes in 2 blocks are definitely lost in loss record 17 of 28
  ==758838==    at 0x4848A23: calloc (in /usr/libexec/valgrind/vgpreload_memcheck-amd64-linux.so)
  ==758838==    by 0x125D30: jv_mem_calloc (jv_alloc.c:153)
  ==758838==    by 0x162ADE: compile (compile.c:1286)
  ==758838==    by 0x162D4B: compile (compile.c:1304)
  ==758838==    by 0x163697: block_compile (compile.c:1381)
  ==758838==    by 0x11B5CA: jq_compile_args (execute.c:1245)
  ==758838==    by 0x115E20: main (main.c:691)
  ==758838==
  ==758838== 1,674,694 (103,576 direct, 1,571,118 indirect) bytes in 1,177 blocks are definitely lost in loss record 28 of 28
  ==758838==    at 0x4843839: malloc (in /usr/libexec/valgrind/vgpreload_memcheck-amd64-linux.so)
  ==758838==    by 0x125CD0: jv_mem_alloc (jv_alloc.c:141)
  ==758838==    by 0x162B19: compile (compile.c:1289)
  ==758838==    by 0x163697: block_compile (compile.c:1381)
  ==758838==    by 0x11B5CA: jq_compile_args (execute.c:1245)
  ==758838==    by 0x115E20: main (main.c:691)

This commit fixes that.

Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=61349",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,fa3733cc4c001106847d2591f00abd401ce3e940,fix typos,src/decNumber/decNumberLocal.h,OSV-2024-330,6ce6e7c71355a0b6006e9e3371364f6945da5a29,src/decNumber/decBasic.c,1,2,src/builtin.c;src/decNumber/decNumberLocal.h,fix typos,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,041789d9ec5a0f592e200bcb7313d88ff14707e4,malloc-fail: Fix null deref in htmlnamePush,HTMLparser.c,CVE-2016-5131,9ab01a277d71f54d3143c2cf333c5c2e9aaedd9e,xpath.c,1,1,HTMLparser.c,"malloc-fail: Fix null deref in htmlnamePush

Found with libFuzzer, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,08a6a0848e3f440aa946fa8a6135d42339fedc61,Fix previous commit,catalog.c,CVE-2022-40304,1b41ec4e9433b05bb0376be4725804c54ef1d80b,entities.c,1,1,catalog.c,Fix previous commit,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,0a890066aefe4f28af086a77bd5de000ecc1ac74,Fix initGenericErrorDefaultFunc(NULL),include/libxml/xmlerror.h,CVE-2008-3281,4bf899bf1b719d692be407b89f6610103f13bd5d,include/libxml/parser.h,1,1,include/libxml/xmlerror.h,"Fix initGenericErrorDefaultFunc(NULL)

Calling initGenericErrorDefaultFunc(NULL) currently yields to

/usr/include/libxml2/libxml/xmlerror.h:23:45: error: invalid use of void expression
   23 |     xmlSetGenericErrorFunc(NULL, (h) ? *(h) : NULL)

Indeed, even if h is nul, the compiler will try to give a type to *(h),
which can't work.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,0bac84b1bd6172000eb0e5d3543457f6eb6ef109,Add missing NULL checks to public API functions,schematron.c,CVE-2025-6170,069bcda17d8194e9582c64dd4bc9dac99b015810,shell.c,1,4,parser.c;schematron.c;xmlreader.c;xpath.c,Add missing NULL checks to public API functions,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,0bef170486223f5da754b2104773cc332a079ada,c14n: Fix memory leak after malloc failure,c14n.c,CVE-2023-29469,09a2dd453007f9c7205274623acdd73747c22d64,dict.c,1,1,c14n.c,c14n: Fix memory leak after malloc failure,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,0c56eb8215bea9e8e4aa934e45c677e6e132cf68,tree: Restore return value of xmlNodeListGetString with NULL list,tree.c,CVE-2014-0191,dd8367da17c2948981a51e52c8a6beb445edf825,parser.c,1,4,fuzz/api.c;tree.c;valid.c;xmlreader.c,"tree: Restore return value of xmlNodeListGetString with NULL list

When passing a NULL list to xmlNodeListGetString or
xmlNodeListGetRawString, return NULL instead of """" to match the old
behavior.

Fixes #783.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,1a865567d4910a4d4a0ea476aadc15d3e8ec9d27,Remove redundant NULL check on cur,tree.c,CVE-2017-9049,e26630548e7d138d2c560844c43820b6767251e3,parser.c,1,1,tree.c,"Remove redundant NULL check on cur

This variable is already NULL checked in the previous if condition.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,1aabc9db40dc5ec1f8f22c09e74c63dda53f7ed6,malloc-fail: Fix null deref in xmlBufResize,buf.c,CVE-2018-14567,2240fbf5912054af025fb6e01e26375100275e74,xzlib.c,1,1,buf.c,"malloc-fail: Fix null deref in xmlBufResize

Found with libFuzzer, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,1e1731a43d2950b6717a5bc0d3bb6efe03595c47,valid: Add NULL check in xmlCtxtValidateDtd,valid.c,CVE-2025-32415,487ee1d8711c6415218b373ef455fcd969d12399,xmlschemas.c,1,1,valid.c,valid: Add NULL check in xmlCtxtValidateDtd,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,1e6b17b8348f9b8d485febaf410d2c419d254924,parser: Fix regression parsing standalone declarations,testparser.c,CVE-2015-8035,f0709e3ca8f8947f2d91ed34e92e38a4c23eae63,xzlib.c,1,2,parser.c;testparser.c,"parser: Fix regression parsing standalone declarations

Fix parsing of standalone declarations if an encoding was provided.

Fixes #661.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,250faf3c832d998baa559ca1a1c61935235aba20,parser: Fix regression in xmlParserNodeInfo accounting,SAX2.c,CVE-2017-9048,932cc9896ab41475d4aa429c27d9afd175959d74,valid.c,1,2,SAX2.c;parser.c,"parser: Fix regression in xmlParserNodeInfo accounting

Commit 62150ed2 broke begin_pos and begin_line when extra node info was
recorded.

Fixes #523.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,276652006218c281527b30ae56d00af4f80f7304,Remove redundant NULL check on cur,tree.c,CVE-2017-9050,e26630548e7d138d2c560844c43820b6767251e3,parser.c,1,1,tree.c,"Remove redundant NULL check on cur

cur = node, and node cannot be NULL as it is checked at the start of the
function.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,2e55fbdebab606a5b326baa6661dba5acbbbed7d,Fix xmlRemoveEntity removing from wrong hash table,tree.c,CVE-2015-7500,f1063fdbe7fa66332bbb76874101c2a7b51b519f,parser.c,1,2,testparser.c;tree.c,"Fix xmlRemoveEntity removing from wrong hash table

`xmlRemoveEntity` looked up parameter entities in `pentities` but then
incorrectly removed from `entities`, leaving the parameter entity
orphaned in `pentities` and potentially corrupting a same-named
general entity.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,31844c74df39c3b88735ef884c33c41da9d52795,malloc-fail: Fix null deref in xmlSchemaParseUnion,xmlschemas.c,CVE-2024-34459,2876ac5392a4e891b81e40e592c3ac6cb46016ce,xmllint.c,1,1,xmlschemas.c,"malloc-fail: Fix null deref in xmlSchemaParseUnion

Found with libFuzzer, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,359083591e997470f34501b48c7e78b09f6090b1,Fix xmlRemoveEntity removing from wrong hash table,testparser.c,CVE-2025-49795,499bcb78ab389f60c2fd634ce410d4bb85c18765,schematron.c,1,2,testparser.c;tree.c,"Fix xmlRemoveEntity removing from wrong hash table

`xmlRemoveEntity` looked up parameter entities in `pentities` but then
incorrectly removed from `entities`, leaving the parameter entity
orphaned in `pentities` and potentially corrupting a same-named
general entity.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,3a95572408151b5dfd9049e8b13871a941e2a7f7,tree: Restore return value of xmlNodeListGetString with NULL list,tree.c,CVE-2017-16931,e26630548e7d138d2c560844c43820b6767251e3,parser.c,1,4,fuzz/api.c;tree.c;valid.c;xmlreader.c,"tree: Restore return value of xmlNodeListGetString with NULL list

When passing a NULL list to xmlNodeListGetString or
xmlNodeListGetRawString, return NULL instead of """" to match the old
behavior.

Fixes #783.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,3ab040c203afa8de1e8ac3561f65e93da7ed5912,Fix unidiomatic use of vsnprintf().,python/libxml.c,CVE-2025-32414,8d415b8911be26b12b85497f7cc57143b5321787,python/libxml.c,1,1,python/libxml.c,"Fix unidiomatic use of vsnprintf().

* Don't terminate an already-terminated buffer.
* Consistently use 1024-byte buffers.
* While here, consistently use ap for a va_list.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,44947afba0ded433c6f4ffc10ee646c4b267f2b7,malloc-fail: Fix null deref after xmlPointerListAddSize,xpath.c,CVE-2008-4225,1dc9feb00fd3bce5967304dcb388ea3ba7e964e6,parser.c,1,1,xpath.c,"malloc-fail: Fix null deref after xmlPointerListAddSize

Found with libFuzzer, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,49b54d7e2b0a3845d7affbf46be0fc0f1abf58f8,parser: Fix null deref in xmlStringDecodeEntitiesInt,parser.c,CVE-2022-40303,c846986356fc149915a74972bf198abc266bc2c0,parser.c,1,1,parser.c,"parser: Fix null deref in xmlStringDecodeEntitiesInt

Short-lived regression.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,4c6922f763ad958c48ff66f82823ae21f2e92ee6,schemas: Fix null-pointer-deref in xmlSchemaCheckCOSSTDerivedOK,xmlschemas.c,CVE-2015-8242,8fb4a770075628d6441fb17a1e435100e2f3b1a2,HTMLparser.c,1,1,xmlschemas.c,"schemas: Fix null-pointer-deref in xmlSchemaCheckCOSSTDerivedOK

Found by OSS-Fuzz.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,4fec0889e0cd406710f96f97a566495cb8178f3b,parser: Fix memory leak in xmlInputSetEncodingHandler,parserInternals.c,CVE-2025-24928,055b382541c8b8ba12d8f0d709db7030e10e8135,valid.c,1,1,parserInternals.c,"parser: Fix memory leak in xmlInputSetEncodingHandler

Short-lived regression.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,577e2516d0ed3669c7e9879ba9f04214658bfd1b,valid: Check for NULL node->name in xmlSnprintfElements,valid.c,CVE-2024-56171,a6bf2cb76cc672c1fd1959e3793e43883893d94e,xmlschemas.c,1,1,valid.c,"valid: Check for NULL node->name in xmlSnprintfElements

Unfortunately, we can have NULL element names if xmlSetTreeDoc fails.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,57b92cabd2f3018212ddc1475df66e9f9cf643c3,catalog: Fix regression in xmlCatalogAdd,catalog.c,CVE-2008-3281,4bf899bf1b719d692be407b89f6610103f13bd5d,parserInternals.c,1,1,catalog.c,"catalog: Fix regression in xmlCatalogAdd

Don't load system catalog.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,58d7a3b72516b1b16f5d72335112c9d661ede7d8,tree: Fix xmlTextMerge with NULL args,tree.c,CVE-2016-3705,8f30bdff69edac9075f4663ce3b56b0c52d48ce6,parser.c,1,2,fuzz/api.c;tree.c,"tree: Fix xmlTextMerge with NULL args

Restore pre-2.13 behavior. Fixes #875.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,5bd6b44d139758652a259ee8cead6d8c61692fe3,Fix initGenericErrorDefaultFunc(NULL),include/libxml/xmlerror.h,CVE-2015-1819,213f1fe0d76d30eaed6e5853057defc43e6df2c9,include/libxml/tree.h,1,1,include/libxml/xmlerror.h,"Fix initGenericErrorDefaultFunc(NULL)

Calling initGenericErrorDefaultFunc(NULL) currently yields to

/usr/include/libxml2/libxml/xmlerror.h:23:45: error: invalid use of void expression
   23 |     xmlSetGenericErrorFunc(NULL, (h) ? *(h) : NULL)

Indeed, even if h is nul, the compiler will try to give a type to *(h),
which can't work.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,64b76f8163d3608f9881b4de23dcc06530ba9323,xmllint: Fix memory leak with --pattern --stream,xmllint.c,CVE-2023-28484,647e072ea0a2f12687fa05c172f4c4713fdb0c4f,xmlschemas.c,1,1,xmllint.c,"xmllint: Fix memory leak with --pattern --stream

Fixes #499.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,6e1e22dc5f9f53fa8585b856662825d673938965,malloc-fail: Fix null-deref in xmlPatPushState,pattern.c,CVE-2017-16931,e26630548e7d138d2c560844c43820b6767251e3,runtest.c,1,1,pattern.c,malloc-fail: Fix null-deref in xmlPatPushState,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,6f9604f0e3e52e96881ab3b662f35fbe04cd49ac,malloc-fail: Fix memory leak in xmlXPathCacheNewNodeSet,xpath.c,CVE-2008-4226,1dc9feb00fd3bce5967304dcb388ea3ba7e964e6,parser.c,1,1,xpath.c,"malloc-fail: Fix memory leak in xmlXPathCacheNewNodeSet

Found with libFuzzer, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,702f2e463c1a81fb664eb9b4db1b78292d451fb9,malloc-fail: Fix memory leak in xmlNewNodeEatName,tree.c,CVE-2025-7425,f1e1f13b766eb580a8dcc0c4e7a447346dfd862e,tree.c,1,1,tree.c,malloc-fail: Fix memory leak in xmlNewNodeEatName,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,75693281389aab047b424d46df944b35ab4a3263,malloc-fail: Fix memory leak in xmlCompileAttributeTest,pattern.c,CVE-2025-49794,71e1e8af5ee46dad1b57bb96cfbf1c3ad21fbd7b,schematron.c,1,1,pattern.c,"malloc-fail: Fix memory leak in xmlCompileAttributeTest

Found by OSS-Fuzz, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,7c5daa376343738a4bd85474386c976d3839f114,tree: Ignore namespace with NULL href in xmlSearchNs,tree.c,CVE-2017-16932,899a5d9f0ed13b8e32449a08a361e0de127dd961,parser.c,1,1,tree.c,"tree: Ignore namespace with NULL href in xmlSearchNs

Some users set href to NULL to unset a namespace without deleting it.

Also change the duplicate check in xmlNewNs which must agree with
xmlSearchNs.

Short-lived regression from f960c60d.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,7d97290a0e93bf78b8e5b9dc390c27a82f0443de,save: Fix xmlSave with NULL encoding,testparser.c,CVE-2022-29824,2554a2408e09f13652049e5ffb0d26196b02ebab,buf.c,1,2,testparser.c;xmlsave.c,"save: Fix xmlSave with NULL encoding

Regressed with cc45f618.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,8318b5a63465f5805cf3e9ebad794f4db40b5aae,parser: Fix NULL checks for output arguments,parser.c,CVE-2024-40896,de28e6ed3a7f18d3188dd18ac5b854b21e05d33a,parser.c,1,2,entities.c;parser.c,parser: Fix NULL checks for output arguments,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,8583b9f1cdb966315b3caae328f5d9f2c8b65292,malloc-fail: Fix null deref in xmlXPathTranslateFunction,xpath.c,CVE-2009-2414,489f9671e71cc44a97b23111b3126ac8a1e21a59,parser.c,1,1,xpath.c,"malloc-fail: Fix null deref in xmlXPathTranslateFunction

Short-lived regression.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,85bc313e7996c06d52b6f6f5c6a467ff3a148e75,malloc-fail: Fix memory leak after calling valuePush,xpath.c,CVE-2008-3281,4bf899bf1b719d692be407b89f6610103f13bd5d,parser.c,1,1,xpath.c,"malloc-fail: Fix memory leak after calling valuePush

Destroy the object in valuePush if the function fails. This is somewhat
dangerous but matches the expectations of users.

Found with libFuzzer, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,873c17116598cfc8fc2eb3a6fe7b9ac43306cc53,Avoid EDG -Wignored-qualifiers warnings on wrong 'const *' to '* const' conversions,c14n.c,CVE-2025-49796,71e1e8af5ee46dad1b57bb96cfbf1c3ad21fbd7b,schematron.c,1,1,c14n.c,Avoid EDG -Wignored-qualifiers warnings on wrong 'const *' to '* const' conversions,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,8c5e54d5bd042e7ac7ffd257f724477c332c535b,Fix C14N type confusion,c14n.c,CVE-2016-4658,c1d1f7121194036608bf555f08d3062a36fd344b,xpointer.c,1,1,c14n.c,"Fix C14N type confusion

Do not try to get nsDef with xmlDoc

Fix https://gitlab.gnome.org/GNOME/libxml2/-/issues/1016",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,936e3d529a6fc17d552f4b6544ba8e51646069df,save: Fix xmlSave with NULL encoding,testparser.c,CVE-2018-9251,2240fbf5912054af025fb6e01e26375100275e74,xzlib.c,1,2,testparser.c;xmlsave.c,"save: Fix xmlSave with NULL encoding

Regressed with cc45f618.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,97086fd76b21fee6e41c13921c450411442d9da6,malloc-fail: Fix memory leak in xmlParserInputBufferCreateMem,xmlIO.c,CVE-2022-23308,652dd12a858989b14eed4e84e453059cd3ba340e,valid.c,1,1,xmlIO.c,"malloc-fail: Fix memory leak in xmlParserInputBufferCreateMem

Found with libFuzzer, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,98194640b80a8d04b5af22b077ffd8368a9568cf,Fix memory leak of prefix in xmlTextWriterStartElementNS(),xmlwriter.c,CVE-2008-3281,4bf899bf1b719d692be407b89f6610103f13bd5d,entities.c,1,1,xmlwriter.c,Fix memory leak of prefix in xmlTextWriterStartElementNS(),0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,a846719b9cd548d3e7e09475e3f33d8ef4101412,pattern: Fix memory leak xmlCompileStepPattern,pattern.c,CVE-2017-9049,e26630548e7d138d2c560844c43820b6767251e3,runtest.c,1,1,pattern.c,pattern: Fix memory leak xmlCompileStepPattern,0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,aef1ff4372e080f9287209a4cdc8d13a275fccaa,"string: Fix xmlStrncatNew(NULL, """")",xmlstring.c,CVE-2015-7497,6360a31a84efe69d155ed96306b9a931a40beab9,dict.c,1,1,xmlstring.c,"string: Fix xmlStrncatNew(NULL, """")

This should return """" not NULL.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,afc7e3a7f41e2e29ac36d4d7cbd0c0755558fa5d,malloc-fail: Fix memory leak in xmlParseReference,parser.c,CVE-2021-3541,8598060bacada41a0eb09d95c97744ff4e428f8e,parser.c,1,1,parser.c,"malloc-fail: Fix memory leak in xmlParseReference

Found with libFuzzer, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,b45927095e0c857b68a96466e3075d60a6a5dd9e,malloc-fail: Fix memory leak in xmlStringGetNodeList,tree.c,CVE-2018-14404,a436374994c47b12d5de1b8b1d191a098fa23594,xpath.c,1,1,tree.c,"malloc-fail: Fix memory leak in xmlStringGetNodeList

Also make sure to return NULL on error instead of a partial node list.

Found with libFuzzer, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,b55ee729dea1122a1f2942b83f7f3b21116f873b,html: Regression test for #696,testparser.c,CVE-2015-1819,213f1fe0d76d30eaed6e5853057defc43e6df2c9,buf.c,1,1,testparser.c,"html: Regression test for #696

This was already fixed in the master branch, so we only add a test.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,bc7740b3c30e1517dcf53a084766c74d25db222f,malloc-fail: Fix memory leak in xmlCopyPropList,tree.c,CVE-2022-29824,2554a2408e09f13652049e5ffb0d26196b02ebab,tree.c,1,1,tree.c,"malloc-fail: Fix memory leak in xmlCopyPropList

Found with libFuzzer, see #344.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
libxml2,bd6fa2c1d5c163ab94edaf2e62d18cdfee33f913,malloc-fail: Fix memory leak in xmlXPathRegisterNs,xpath.c,CVE-2009-2416,489f9671e71cc44a97b23111b3126ac8a1e21a59,parser.c,1,1,xpath.c,"malloc-fail: Fix memory leak in xmlXPathRegisterNs

Found by OSS-Fuzz.",0,0,0,accept,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
